ds,yhat,yhat_lower,yhat_upper
2019-07-23,191320.83392602557,132220.2468313296,250087.6745802236
2019-07-24,134638.09119136812,79525.92415790715,189078.5613043568
2019-07-25,150594.8217628863,93207.86399383536,208753.39063584962
2019-07-26,156145.44770163545,96515.07571858929,215369.30058020525
2019-07-27,188410.91379610688,130518.56696956018,244934.74901330244
2019-07-28,237192.128345288,177136.10752564197,295530.09916532715
2019-07-29,255700.79182091728,199272.50999718893,314270.19614661654
2019-07-30,189449.45832987133,129149.85559353765,246186.7503209481
2019-07-31,132855.32300979333,71416.00462039199,190545.43938040143
2019-08-01,149017.91318777206,88869.57330354833,213438.4465377684
2019-08-02,154822.40685858388,96388.03645329042,215654.9659125514
2019-08-03,187405.51587144975,129175.07262595615,247999.81776512842
2019-08-04,236548.9135264984,176906.37634005028,296122.98378556565
2019-08-05,255426.87515994985,197319.44954699647,314847.0351808769
2019-08-06,189518.37669778726,130686.39164122155,248582.21932377736
2019-08-07,133282.8216978569,76278.94752884061,191091.13585877628
2019-08-08,149821.00372572444,91688.13730501937,208247.88262263697
2019-08-09,155964.90519522186,95937.0616988844,220899.88717883243
2019-08-10,188852.56034954576,126553.52133746122,248075.53741286453
2019-08-11,238246.06261576343,181638.86096481816,296557.4521137337
2019-08-12,257284.53248961116,199713.7689680623,317170.52948322095
2019-08-13,191409.74631879554,135768.38178241585,250128.20997284062
2019-08-14,135113.17636007414,75310.78897625483,191987.17140005238
2019-08-15,151515.69912398723,92743.70449586435,211588.05214782406
2019-08-16,157405.72367576606,99953.62179888334,215312.95745487773
2019-08-17,189934.94014013725,130953.90583649477,249529.3552901411
2019-08-18,238860.63200699206,180505.93554669633,295458.0069252317
2019-08-19,257303.6205164531,196486.77864075112,318809.63892347045
2019-08-20,190687.00535873108,129886.24143872561,251552.09464354068
2019-08-21,133554.04251962496,75915.64277818361,194109.94424139964
2019-08-22,149066.07890944587,90285.64125802947,211400.28302061255
2019-08-23,153988.4597192148,93054.53628908948,207484.46191516274
2019-08-24,185506.59757402405,126421.4661746163,245131.71234281777
2019-08-25,233392.02420374306,173612.0737415216,293952.52744102705
2019-08-26,250764.7635395071,190727.98932895562,311389.05353470764
2019-08-27,183044.66873291176,124467.0569587255,240679.70855480063
2019-08-28,124839.66868839716,66058.49414386759,181682.6783952632
2019-08-29,139361.52430075037,77021.69236252517,198117.61623555975
2019-08-30,143359.1864360645,80156.24490979781,202120.37029008847
2019-08-31,174054.93686868675,118140.92083128057,234269.14989750585
2019-09-01,221234.0313341962,163062.38726231552,279117.5800553043
2019-09-02,238011.44960168458,179541.8720773162,300616.4716213484
2019-09-03,169795.88065898366,110950.79682309074,229906.93634989148
2019-09-04,111248.49315510948,51327.91263132743,170224.18354570348
2019-09-05,125616.77047824851,61146.878641898,183471.40058004673
2019-09-06,129615.66954128633,67147.39504390699,186149.38974914947
2019-09-07,160484.27089992457,100989.13363030281,219514.79241392657
2019-09-08,207999.52485944258,150006.73036122823,265443.82039294357
2019-09-09,225247.95235505403,169504.68800583004,286123.5739844347
2019-09-10,157602.89789815774,94604.53128790279,217282.59685868892
2019-09-11,99754.47239471925,42462.89327497025,154916.08669469264
2019-09-12,114962.12620306964,51944.79869615478,175006.12465428948
2019-09-13,119884.25974974752,66989.5989438061,176628.57951057798
2019-09-14,151756.0069132643,93211.51778745616,214644.91916103885
2019-09-15,200327.66299523227,138362.24800435858,262566.0150103243
2019-09-16,218641.85255274028,159305.77190017476,273978.07005824463
2019-09-17,152024.48850203448,93102.79163898528,207829.19616364472
2019-09-18,95186.2328704936,36366.75894224909,152221.3579174138
2019-09-19,111394.05083953656,49919.99552365327,168093.6187015346
2019-09-20,117249.40507905345,56924.48942145085,178023.78725707636
2019-09-21,149987.18682248986,91627.11809860956,209562.5795843556
2019-09-22,199338.72242303597,137973.06819509977,259861.34379669247
2019-09-23,218314.1880155689,162687.0378808855,278306.39350954787
2019-09-24,152206.94171053858,95779.05333469008,210710.24316083957
2019-09-25,95766.0669337768,34244.72869217095,154359.52857108702
2019-09-26,112286.38072082911,52610.89536629603,167503.72851796343
2019-09-27,118334.60734245388,59279.626096092616,178614.4903656624
2019-09-28,151168.7918867983,89774.4091991844,208842.45305805883
2019-09-29,200525.17991498718,140861.63481996037,257888.50643356456
2019-09-30,219405.15236754064,160368.7191938586,280890.1038721482
2019-10-01,153092.2058140638,93640.85593671631,211649.59946010535
2019-10-02,96394.87555488019,33254.7227007704,157172.33275934536
2019-10-03,112654.54005204009,54850.161207964986,173949.80963506433
2019-10-04,118418.98059773451,59349.31104711075,183637.00378639434
2019-10-05,150981.7681038043,92733.48842414707,215089.2587470054
2019-10-06,200092.60734273162,139428.9717534571,259397.38406788526
2019-10-07,218748.49850123542,161046.4394144872,277247.3821288732
2019-10-08,152223.19776490305,89449.88197365886,214073.68149674844
2019-10-09,95380.48433832705,32861.183993146275,156586.96289445684
2019-10-10,111599.86714342372,50141.27485489239,173458.87143434706
2019-10-11,117397.76651396372,57498.357126281786,174869.58558562363
2019-10-12,150087.24306388086,93100.56456435975,207014.8715860674
2019-10-13,199412.3038461963,139620.97500531387,258925.0227469183
2019-10-14,218343.89770020082,158146.7001078846,277141.503096488
2019-10-15,152122.5552065975,94731.45223749787,214547.12896909
2019-10-16,95642.75928983117,35654.84123811679,157768.3453914741
2019-10-17,112297.38804484886,50938.13267697877,170438.65256161752
2019-10-18,118547.40118709701,59321.64660335118,176084.30258271587
2019-10-19,151702.7437892674,94182.08220355921,217299.8780756447
2019-10-20,201481.46777828023,144975.93612831252,260038.8002666757
2019-10-21,220811.3484859052,164391.5584565703,282864.9129762299
2019-10-22,154886.41833156918,96883.78287853322,218288.67029707826
2019-10-23,98623.06043332092,36638.00266003057,162362.7940838291
2019-10-24,115423.69634970243,56235.3599915662,173049.703757681
2019-10-25,121695.32795708167,65699.04430600381,180405.56733222952
2019-10-26,154751.8263847198,94619.59161828425,214998.11588540763
2019-10-27,204297.91099864483,142285.664324068,258230.55269283266
2019-10-28,223236.25761885478,161808.78711816214,283901.01444645686
2019-10-29,156737.62276876805,96588.18778250097,212815.71951272132
2019-10-30,99768.18652108838,41553.55234984431,156726.25266531136
2019-10-31,115771.8487735596,57462.44667623341,183124.3542383634
2019-11-01,121136.84032877341,64531.99908995022,181750.62474231533
2019-11-02,153218.47902365445,94610.19326674391,212105.0934635635
2019-11-03,201746.97723682853,138638.26242775822,263184.76382317155
2019-11-04,219638.92853868334,158546.49395204685,277044.6300516528
2019-11-05,152079.85289390976,95871.42040235424,211515.10380781782
2019-11-06,94121.59320713715,32048.650211461343,149539.86952787737
2019-11-07,109282.03370883896,52277.492198275984,169598.43139528568
2019-11-08,113958.6358228801,52333.79555209728,171740.26886056864
2019-11-09,145570.58815923522,87630.67320077201,202297.01539965067
2019-11-10,193889.4798641518,136632.33184924253,254559.5035086542
2019-11-11,211854.33811485994,153322.1655860973,271823.0753497344
2019-11-12,144665.9315084023,90306.42470217317,201885.02450262333
2019-11-13,87453.74596319706,24178.615052760942,144184.42181615782
2019-11-14,103792.85956233315,45233.083354638766,165284.92173340224
2019-11-15,110064.358589866,45934.87916973633,169138.53048913952
2019-11-16,143717.06823114745,80959.2114230804,205455.29998612552
2019-11-17,194521.51227069864,136463.6960627178,251943.7564570644
2019-11-18,215389.15299570598,154032.90587366777,274962.9414411688
2019-11-19,151479.32570342312,85321.00400385715,209987.60899873349
2019-11-20,97936.8729889826,36761.409880290434,157911.79766604735
2019-11-21,118327.44002254067,54506.74362259711,177397.4810012725
2019-11-22,128946.19316629201,69600.67682925597,186951.37705264648
2019-11-23,167200.6809544921,106247.17955313784,226739.0033536087
2019-11-24,222789.7215333955,164200.43764621156,281413.6364107808
2019-11-25,248528.53957787488,185311.87190607624,305907.69035926636
2019-11-26,189470.03894431153,130235.060295814,243740.62289671812
2019-11-27,140714.77262413915,79527.51346796208,196917.69720010023
2019-11-28,165766.26356632807,99842.28807518104,219768.78954691484
2019-11-29,180789.51731670645,123203.18476343757,239324.29230861657
2019-11-30,223116.35158681704,161519.73361630132,284282.7022460577
2019-12-01,282350.3598221736,220528.53435053694,343745.4751140383
2019-12-02,311198.8711676266,256059.971365087,372658.8736009
2019-12-03,254609.23700460567,194249.80126638667,316891.08405628626
2019-12-04,207651.5399968751,142573.5735385337,268579.51002462656
2019-12-05,233794.05559739564,175512.7607895116,291920.9709402771
2019-12-06,249111.37663593283,189479.10414057967,309608.03936671314
2019-12-07,290911.73023782327,233112.5810902935,348000.8655970831
2019-12-08,348767.2423756655,292470.6980996106,408239.35742877156
2019-12-09,375351.6644499831,310279.5030864036,432558.789958174
2019-12-10,315590.35564001714,258445.0933959132,375800.2035187352
2019-12-11,264614.1775211659,202176.52487434077,322625.7386509843
2019-12-12,285953.339623849,229115.0555907891,341667.35511340585
2019-12-13,295693.213880254,239213.5681653232,355521.116857373
2019-12-14,331221.59347613296,273773.332503137,392452.5966085492
2019-12-15,382182.13526230335,323413.05039096734,440309.18364544876
2019-12-16,401315.7001430885,338427.9484643748,459525.87438291917
2019-12-17,333621.8980222913,276256.9596507139,389379.6998336142
2019-12-18,274382.1036811465,217024.19961252884,330107.9285107722
2019-12-19,287269.73919350427,225645.14275744278,343469.9471106258
2019-12-20,288451.99392743537,228286.23399512676,349171.2167597025
2019-12-21,315455.44634144806,258313.80825667348,377225.22870770283
2019-12-22,358041.34840740985,300311.97413455136,419009.08279575966
2019-12-23,369049.5194569234,311135.3221941927,430816.1163520672
2019-12-24,293570.69494362816,235910.65128235248,353944.7819146251
2019-12-25,227038.2254749676,166425.24176825484,289667.37694789254
2019-12-26,233254.69032159055,175910.2867139799,292315.2297773449
2019-12-27,228439.75352885583,168772.0554747603,289202.5351370094
2019-12-28,250214.71133891327,190740.52304078263,311970.5418790349
2019-12-29,288400.5018079879,226315.4747673416,350697.53858417145
2019-12-30,295865.33633899246,230250.63749949416,358078.78551126004
2019-12-31,217709.31109762186,159348.0138842819,277550.33099192375
2020-01-01,149426.48972971315,88715.98189911955,206880.90479157737
2020-01-02,154849.7516148832,93117.62324294786,216871.85031186196
2020-01-03,150146.84743181663,90221.93736524007,208775.3777627478
2020-01-04,172926.04828436687,109737.80420030784,234119.21207747277
2020-01-05,212959.1196740773,152132.36483064995,271924.0578901935
2020-01-06,223034.94199102445,164637.04155715785,283575.7090077904
2020-01-07,148158.596869906,87713.21287914933,206185.68114953573
2020-01-08,83785.9568666132,22320.537872246878,146460.28560926934
2020-01-09,93688.75502376753,32325.431542484297,153080.47101901306
2020-01-10,93900.645454368,31565.03675333424,153215.58292321756
2020-01-11,121945.53897906504,66526.1838565045,184063.93015424922
2020-01-12,167486.87111715437,112500.67022005733,229193.9384043784
2020-01-13,183188.25796097555,125194.97794432446,239886.7604114734
2020-01-14,113927.79937179755,56334.01657543706,173819.57440996746
2020-01-15,55105.59906250008,-5222.844612544041,115991.67749477144
2020-01-16,70429.15421913973,16147.001054241658,130894.38167910617
2020-01-17,75809.1965667946,15030.999274776746,133567.95412565966
